V1,geoid,threshold,tot_jobs,layer,path,Boro,Block,Lot,Condominium_Coop,Address,Neighborhood,Neighborhood_No,Building Code,Elevator_Walkup,Total_Units,Year_Built,Age,Gross_SqFt,Unit_Gross_SqFt,Unit_Gross_SqMeter,Estimated_Gross_Income,Gross_Income_per_SqFt,Gross_Income_per_Sqmeter,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Financial_Year,t,id,D_Nearestb4,D_Nearestafter,Delta_Dis_Nearest,Type,Location_1,Location_2,Location_3,Location_4,Y_2016,Y_2017,Y_2018,AllSta_1000,No_NewSta_1000,NewSta_1000,y,x,Income_DelDis_Beta
14,3.61E+14,30,1490876,NA,NA,1,1643,7502,2534-R1,110 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,7322,610.1666667,56.69,378694,51.72,556.1290323,184148,25.15,194546,1556000,212.51,2017,2,88,111.606681,111.606681,0,1,0,0,1,0,0,1,0,4,0,0,40.7988116,-73.9427558,
14,3.61E+14,30,1500920,NA,NA,1,1643,7502,2534-R1,110 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,7322,610.1666667,56.69,349699,47.76,513.5483871,160498,21.92,189201,1523000,208,2018,3,88,111.606681,111.606681,0,1,0,0,1,0,0,0,1,4,0,0,40.7988116,-73.9427558,
14,3.61E+14,30,1386295,NA,NA,1,1643,7502,2534-R1,110 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,7322,610.1666667,56.69,347282,47.43,510,156251,21.34,191031,1528000,208.69,2016,1,88,111.606681,111.606681,0,1,0,0,1,0,1,0,0,4,0,0,40.7988116,-73.9427558,
15,3.61E+14,30,1500920,NA,NA,1,1643,7501,2535-R1,108 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,9700,808.3333333,75.1,399931,41.23,443.3333333,186531,19.23,213400,1718000,177.11,2018,3,69,118.0346408,118.0346408,0,1,0,0,1,0,0,0,1,4,0,0,40.7988246,-73.9428477,
13,3.61E+14,30,746796,NA,NA,1,1660,7501,0716-R1,2141 2 AVENUE,HARLEM-EAST,3,R2-WALK-UP,0,10,1910,109,6504,650.4,60.42,265753,40.86,439.3548387,106601,16.39,159152,1281001,196.96,2018,3,536,394.365153,394.365153,0,1,0,0,1,0,0,0,1,3,0,0,40.7934089,-73.9407833,
15,3.61E+14,30,1490876,NA,NA,1,1643,7501,2535-R1,108 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,9700,808.3333333,75.1,391492,40.36,433.9784946,196231,20.23,195261,1562000,161.03,2017,2,69,118.0346408,118.0346408,0,1,0,0,1,0,0,1,0,4,0,0,40.7988246,-73.9428477,
13,3.61E+14,30,697814,NA,NA,1,1660,7501,0716-R1,2141 2 AVENUE,HARLEM-EAST,3,R2-WALK-UP,0,10,1910,109,6504,650.4,60.42,253721,39.01,419.4623656,114145,17.55,139576,1116001,171.59,2017,2,536,394.365153,394.365153,0,1,0,0,1,0,0,1,0,3,0,0,40.7934089,-73.9407833,
15,3.61E+14,30,1386295,NA,NA,1,1643,7501,2535-R1,108 EAST 116 STREET,HARLEM-EAST,3,RR-CONRENT,0,12,1910,109,9700,808.3333333,75.1,371898,38.34,412.2580645,185658,19.14,186240,1490000,153.61,2016,1,69,118.0346408,118.0346408,0,1,0,0,1,0,1,0,0,4,0,0,40.7988246,-73.9428477,
12,3.61E+14,30,903507,NA,NA,1,1661,7502,2028-R1,2025 3 AVENUE,HARLEM-EAST,3,R9-CONDOPS,0,11,2004,15,8755,795.9090909,73.94,329451,37.63,404.6236559,126422,14.44,203029,1629000,186.07,2018,3,473,223.557188,223.557188,0,1,0,0,1,0,0,0,1,3,0,0,40.7947803,-73.942067,
13,3.61E+14,30,618645,NA,NA,1,1660,7501,0716-R1,2141 2 AVENUE,HARLEM-EAST,3,R2-WALK-UP,0,10,1910,109,6504,650.4,60.42,240518,36.98,397.6344086,104844,16.12,135674,1085999,166.97,2016,1,536,394.365153,394.365153,0,1,0,0,1,0,1,0,0,3,0,0,40.7934089,-73.9407833,
12,3.61E+14,30,848470,NA,NA,1,1661,7502,2028-R1,2025 3 AVENUE,HARLEM-EAST,3,R9-CONDOPS,0,11,2004,15,8755,795.9090909,73.94,306513,35.01,376.4516129,128348,14.66,178165,1425000,162.76,2017,2,473,223.557188,223.557188,0,1,0,0,1,0,0,1,0,3,0,0,40.7947803,-73.942067,
835,3.61E+14,30,1690520,NA,NA,1,1624,44,Coop,154 EAST 97 STREET,HARLEM-EAST,3,C6-WALK-UP,0,17,1930,89,8640,508.2352941,47.22,298080,34.5,370.9677419,118714,13.74,179366,1432000,165.74,2018,3,305,88.92590923,88.92590923,0,0,0,0,1,0,0,0,1,3,1,1,40.786007,-73.949762,
12,3.61E+14,30,755778,NA,NA,1,1661,7502,2028-R1,2025 3 AVENUE,HARLEM-EAST,3,R9-CONDOPS,0,11,2004,15,8755,795.9090909,73.94,296970,33.92,364.7311828,123358,14.09,173612,1389000,158.65,2016,1,473,223.557188,223.557188,0,1,0,0,1,0,1,0,0,3,0,0,40.7947803,-73.942067,
39,3.61E+14,30,1087462,NA,NA,1,1788,7502,1876-R1,206 EAST 124 STREET,HARLEM-EAST,3,R2-WALK-UP,0,16,1900,119,12090,755.625,70.2,385429,31.88,342.7956989,144717,11.97,240712,1910000,157.98,2018,3,492,393.8228211,393.8228211,0,1,0,0,1,0,0,0,1,2,0,0,40.8026108,-73.9358497,
835,3.61E+14,30,1656784,NA,NA,1,1624,44,Coop,154 EAST 97 STREET,HARLEM-EAST,3,C6-WALK-UP,0,17,1930,89,8640,508.2352941,47.22,247709,28.67,308.2795699,109037,12.62,138672,1109000,128.36,2017,2,305,88.92590923,88.92590923,0,0,0,0,1,0,0,1,0,3,1,1,40.786007,-73.949762,
39,3.61E+14,30,1014596,NA,NA,1,1788,7502,1876-R1,206 EAST 124 STREET,HARLEM-EAST,3,R2-WALK-UP,0,16,1900,119,12090,755.625,70.2,343235,28.39,305.2688172,166600,13.78,176635,1413000,116.87,2016,1,492,393.8228211,393.8228211,0,1,0,0,1,0,1,0,0,2,0,0,40.8026108,-73.9358497,
36,3.61E+14,30,663449,NA,NA,1,1785,7501,1901-R1,207 EAST 120 STREET,HARLEM-EAST,3,R2-WALK-UP,0,11,1900,119,14440,1312.727273,121.96,406919,28.18,303.0107527,160428,11.11,246491,1933001,133.86,2018,3,495,364.2066092,364.2066092,0,1,0,0,1,0,0,0,1,3,0,0,40.8004182,-73.9375206,
36,3.61E+14,30,607986,NA,NA,1,1785,7501,1901-R1,207 EAST 120 STREET,HARLEM-EAST,3,R2-WALK-UP,0,11,1900,119,14440,1312.727273,121.96,402298,27.86,299.5698925,185987,12.88,216311,1731000,119.88,2016,1,495,364.2066092,364.2066092,0,1,0,0,1,0,1,0,0,3,0,0,40.8004182,-73.9375206,
873,3.61E+14,30,1438193,NA,NA,1,1632,7501,0666-R1,165 EAST 104 STREET,HARLEM-EAST,3,R2-WALK-UP,0,12,1910,109,7690,640.8333333,59.54,212167,27.59,296.6666667,123963,16.12,88204,689002,89.6,2018,3,351,128.0166387,128.0166387,0,1,0,0,1,0,0,0,1,4,1,1,40.7907701,-73.9463459,
39,3.61E+14,30,1100005,NA,NA,1,1788,7502,1876-R1,206 EAST 124 STREET,HARLEM-EAST,3,R2-WALK-UP,0,16,1900,119,12090,755.625,70.2,331750,27.44,295.0537634,148344,12.27,183406,1467000,121.34,2017,2,492,393.8228211,393.8228211,0,1,0,0,1,0,0,1,0,2,0,0,40.8026108,-73.9358497,
36,3.61E+14,30,658431,NA,NA,1,1785,7501,1901-R1,207 EAST 120 STREET,HARLEM-EAST,3,R2-WALK-UP,0,11,1900,119,14440,1312.727273,121.96,394068,27.29,293.4408602,177323,12.28,216745,1734002,120.08,2017,2,495,364.2066092,364.2066092,0,1,0,0,1,0,0,1,0,3,0,0,40.8004182,-73.9375206,
839,3.61E+14,30,1625559,NA,NA,1,1625,6,Coop,105 EAST 97 STREET,HARLEM-EAST,3,C6-WALK-UP,0,15,1910,109,9245,616.3333333,57.26,250817,27.13,291.7204301,115655,12.51,135162,1055000,114.12,2018,3,52,139.2958869,139.2958869,0,0,0,0,1,0,0,0,1,3,1,1,40.7871356,-73.9512858,
835,3.61E+14,30,1491684,NA,NA,1,1624,44,Coop,154 EAST 97 STREET,HARLEM-EAST,3,C6-WALK-UP,0,17,1930,89,8640,508.2352941,47.22,234230,27.11,291.5053763,100138,11.59,134092,1073000,124.19,2016,1,305,88.92590923,88.92590923,0,0,0,0,1,0,1,0,0,3,1,1,40.786007,-73.949762,
23,3.61E+14,30,1492165,NA,NA,1,1622,53,Coop,1775 MADISON AVENUE,HARLEM-EAST,3,C6-WALK-UP,0,19,1910,109,8530,448.9473684,41.71,226813,26.59,285.9139785,107563,12.61,119250,928000,108.79,2018,3,403,263.2283973,263.2283973,0,0,0,0,1,0,0,0,1,3,0,0,40.8003799,-73.9443089,
873,3.61E+14,30,1420120,NA,NA,1,1632,7501,0666-R1,165 EAST 104 STREET,HARLEM-EAST,3,R2-WALK-UP,0,12,1910,109,7690,640.8333333,59.54,200094,26.02,279.7849462,116734,15.18,83360,667000,86.74,2017,2,351,128.0166387,128.0166387,0,1,0,0,1,0,0,1,0,4,1,1,40.7907701,-73.9463459,
